case_id,campaign_group,open_ratio,reynolds_number,fluid,topology,tdp_per_chip_W,num_chips,total_heat_W,inlet_temp_C,inlet_velocity_m_s,flow_rate_LPM,is_out_of_sample
DOE_Case_166,Topology_Sensitivity,0.0,100,FC-40,Micro-Pin-Fin,700.0,2,1400.0,25.0,0.002796,1.044,False
DOE_Case_167,Topology_Sensitivity,0.0,500,FC-40,Micro-Pin-Fin,700.0,2,1400.0,25.0,0.013981,5.22,False
DOE_Case_168,Topology_Sensitivity,0.1,100,FC-40,Micro-Pin-Fin,700.0,2,1400.0,25.0,0.002796,1.044,False
DOE_Case_169,Topology_Sensitivity,0.1,500,FC-40,Micro-Pin-Fin,700.0,2,1400.0,25.0,0.013981,5.22,False
DOE_Case_170,Topology_Sensitivity,0.2,100,FC-40,Micro-Pin-Fin,700.0,2,1400.0,25.0,0.002796,1.044,False
DOE_Case_171,Topology_Sensitivity,0.2,500,FC-40,Micro-Pin-Fin,700.0,2,1400.0,25.0,0.013981,5.22,False
DOE_Case_172,Topology_Sensitivity,0.3,100,FC-40,Micro-Pin-Fin,700.0,2,1400.0,25.0,0.002796,1.044,False
DOE_Case_173,Topology_Sensitivity,0.3,500,FC-40,Micro-Pin-Fin,700.0,2,1400.0,25.0,0.013981,5.22,False
DOE_Case_174,Topology_Sensitivity,0.4,100,FC-40,Micro-Pin-Fin,700.0,2,1400.0,25.0,0.002796,1.044,False
DOE_Case_175,Topology_Sensitivity,0.4,500,FC-40,Micro-Pin-Fin,700.0,2,1400.0,25.0,0.013981,5.22,False
DOE_Case_176,Topology_Sensitivity,0.5,100,FC-40,Micro-Pin-Fin,700.0,2,1400.0,25.0,0.002796,1.044,False
DOE_Case_177,Topology_Sensitivity,0.5,500,FC-40,Micro-Pin-Fin,700.0,2,1400.0,25.0,0.013981,5.22,False
DOE_Case_178,Topology_Sensitivity,0.6,100,FC-40,Micro-Pin-Fin,700.0,2,1400.0,25.0,0.002796,1.044,False
DOE_Case_179,Topology_Sensitivity,0.6,500,FC-40,Micro-Pin-Fin,700.0,2,1400.0,25.0,0.013981,5.22,False
DOE_Case_180,Topology_Sensitivity,0.7,100,FC-40,Micro-Pin-Fin,700.0,2,1400.0,25.0,0.002796,1.044,False
DOE_Case_181,Topology_Sensitivity,0.7,500,FC-40,Micro-Pin-Fin,700.0,2,1400.0,25.0,0.013981,5.22,False
DOE_Case_182,Topology_Sensitivity,0.8,100,FC-40,Micro-Pin-Fin,700.0,2,1400.0,25.0,0.002796,1.044,False
DOE_Case_183,Topology_Sensitivity,0.8,500,FC-40,Micro-Pin-Fin,700.0,2,1400.0,25.0,0.013981,5.22,False
DOE_Case_184,Topology_Sensitivity,0.9,100,FC-40,Micro-Pin-Fin,700.0,2,1400.0,25.0,0.002796,1.044,False
