case_id,campaign_group,open_ratio,reynolds_number,fluid,topology,tdp_per_chip_W,flow_rate_LPM,bypass_fraction_pct,thermal_resistance_K_W,T_chip_max_C,pressure_drop_total_Pa,nusselt_number,pumping_power_W,figure_of_merit_K_inv,status
DOE_Case_125,Fluid_Sensitivity,0.8,250,PAO-4,Plate-Fin,700.0,24.709,57.41,0.09543,93.25,2.11,8.07,0.000869,12061.8,COMPLETED_CONVERGED
DOE_Case_126,Fluid_Sensitivity,0.8,750,PAO-4,Plate-Fin,700.0,74.128,65.57,0.07547,78.31,13.283,11.23,0.016411,807.4,COMPLETED_CONVERGED
DOE_Case_127,Fluid_Sensitivity,0.9,50,PAO-4,Plate-Fin,700.0,4.942,46.34,0.13292,125.3,0.203,5.27,1.7e-05,75231.9,COMPLETED_CONVERGED
DOE_Case_128,Fluid_Sensitivity,0.9,250,PAO-4,Plate-Fin,700.0,24.709,58.51,0.0961,93.72,1.811,7.99,0.000746,13952.6,COMPLETED_CONVERGED
DOE_Case_129,Fluid_Sensitivity,0.9,750,PAO-4,Plate-Fin,700.0,74.128,66.82,0.0762,78.82,11.404,11.07,0.014089,931.5,COMPLETED_CONVERGED
DOE_Case_130,Fluid_Sensitivity,1.0,50,PAO-4,Plate-Fin,700.0,4.942,46.95,0.13322,125.51,0.171,5.25,1.4e-05,75061.0,COMPLETED_CONVERGED
DOE_Case_131,Fluid_Sensitivity,1.0,250,PAO-4,Plate-Fin,700.0,24.709,59.29,0.09658,94.06,1.524,7.94,0.000628,16498.4,COMPLETED_CONVERGED
DOE_Case_132,Fluid_Sensitivity,1.0,750,PAO-4,Plate-Fin,700.0,74.128,67.71,0.07673,79.19,9.596,10.96,0.011855,1099.3,COMPLETED_CONVERGED
DOE_Case_133,Fluid_Sensitivity,0.0,50,EFL-1,Plate-Fin,700.0,0.406,0.78,0.29572,302.54,0.011,4.4,0.0,33815.2,COMPLETED_CONVERGED
DOE_Case_134,Fluid_Sensitivity,0.0,250,EFL-1,Plate-Fin,700.0,2.029,0.78,0.21158,187.22,0.094,6.4,3e-06,47263.5,COMPLETED_CONVERGED
DOE_Case_135,Fluid_Sensitivity,0.0,750,EFL-1,Plate-Fin,700.0,6.086,0.78,0.15225,136.28,0.591,9.39,6e-05,65680.1,COMPLETED_CONVERGED
